Date/Time,Year,Month,Total Snow (cm)
Jan-67,1967,1,30
Feb-67,1967,2,14
Mar-67,1967,3,31.8
Apr-67,1967,4,4.3
May-67,1967,5,0
Jun-67,1967,6,7.1
Jul-67,1967,7,0
Aug-67,1967,8,0
Sep-67,1967,9,0
Oct-67,1967,10,7.6
Nov-67,1967,11,9.7
Dec-67,1967,12,33.3
Jan-68,1968,1,27.9
Feb-68,1968,2,3
Mar-68,1968,3,14.7
Apr-68,1968,4,16.5
May-68,1968,5,0
Jun-68,1968,6,0
Jul-68,1968,7,0
Aug-68,1968,8,0
Sep-68,1968,9,0
Oct-68,1968,10,11.2
Nov-68,1968,11,4.1
Dec-68,1968,12,40.4
Jan-69,1969,1,15.2
Feb-69,1969,2,19.3
Mar-69,1969,3,7.6
Apr-69,1969,4,9.4
May-69,1969,5,0
Jun-69,1969,6,0
Jul-69,1969,7,0
Aug-69,1969,8,0
Sep-69,1969,9,0
Oct-69,1969,10,13.2
Nov-69,1969,11,20.6
Dec-69,1969,12,12.4
Jan-70,1970,1,17.5
Feb-70,1970,2,16.5
Mar-70,1970,3,19.8
Apr-70,1970,4,3.3
May-70,1970,5,0.5
Jun-70,1970,6,0
Jul-70,1970,7,0
Aug-70,1970,8,0
Sep-70,1970,9,6.6
Oct-70,1970,10,37.1
Nov-70,1970,11,35.8
Dec-70,1970,12,18
Jan-71,1971,1,46.5
Feb-71,1971,2,3.6
Mar-71,1971,3,31.5
Apr-71,1971,4,6.4
May-71,1971,5,0
Jun-71,1971,6,0
Jul-71,1971,7,0
Aug-71,1971,8,0
Sep-71,1971,9,10.2
Oct-71,1971,10,2
Nov-71,1971,11,14.7
Dec-71,1971,12,52.8
Jan-72,1972,1,21.3
Feb-72,1972,2,45
Mar-72,1972,3,12.2
Apr-72,1972,4,20.1
May-72,1972,5,1.3
Jun-72,1972,6,0
Jul-72,1972,7,0
Aug-72,1972,8,0
Sep-72,1972,9,6.4
Oct-72,1972,10,2.3
Nov-72,1972,11,20.8
Dec-72,1972,12,28.4
Jan-73,1973,1,8.9
Feb-73,1973,2,17.3
Mar-73,1973,3,6.4
Apr-73,1973,4,36.8
May-73,1973,5,0
Jun-73,1973,6,0
Jul-73,1973,7,0
Aug-73,1973,8,0
Sep-73,1973,9,0
Oct-73,1973,10,6.6
Nov-73,1973,11,44.7
Dec-73,1973,12,20.1
Jan-74,1974,1,37.3
Feb-74,1974,2,33.3
Mar-74,1974,3,43.7
Apr-74,1974,4,12.4
May-74,1974,5,1
Jun-74,1974,6,0
Jul-74,1974,7,0
Aug-74,1974,8,0
Sep-74,1974,9,3.8
Oct-74,1974,10,0.8
Nov-74,1974,11,0.8
Dec-74,1974,12,26.2
Jan-75,1975,1,13
Feb-75,1975,2,10.9
Mar-75,1975,3,14.7
Apr-75,1975,4,18.8
May-75,1975,5,0.8
Jun-75,1975,6,0
Jul-75,1975,7,0
Aug-75,1975,8,0
Sep-75,1975,9,0
Oct-75,1975,10,11.7
Nov-75,1975,11,7.1
Dec-75,1975,12,41.1
Jan-76,1976,1,16
Feb-76,1976,2,19.6
Mar-76,1976,3,20.6
Apr-76,1976,4,5.6
May-76,1976,5,0
Jun-76,1976,6,0
Jul-76,1976,7,0
Aug-76,1976,8,0
Sep-76,1976,9,0
Oct-76,1976,10,0.3
Nov-76,1976,11,8.1
Dec-76,1976,12,37.1
Jan-77,1977,1,24.7
Feb-77,1977,2,0
Mar-77,1977,3,11.8
Apr-77,1977,4,3.3
May-77,1977,5,13.7
Jun-77,1977,6,0
Jul-77,1977,7,0
Aug-77,1977,8,0
Sep-77,1977,9,0
Oct-77,1977,10,0
Nov-77,1977,11,11.6
Dec-77,1977,12,21.6
Jan-78,1978,1,35.3
Feb-78,1978,2,15.1
Mar-78,1978,3,6.7
Apr-78,1978,4,6.1
May-78,1978,5,0
Jun-78,1978,6,0
Jul-78,1978,7,0
Aug-78,1978,8,0
Sep-78,1978,9,0
Oct-78,1978,10,0.3
Nov-78,1978,11,52
Dec-78,1978,12,11.1
Jan-79,1979,1,5.3
Feb-79,1979,2,50.9
Mar-79,1979,3,9.5
Apr-79,1979,4,42.7
May-79,1979,5,12.2
Jun-79,1979,6,0
Jul-79,1979,7,0
Aug-79,1979,8,0
Sep-79,1979,9,0
Oct-79,1979,10,0
Nov-79,1979,11,11.9
Dec-79,1979,12,43.6
Jan-80,1980,1,30.2
Feb-80,1980,2,22.3
Mar-80,1980,3,24.4
Apr-80,1980,4,6.7
May-80,1980,5,0
Jun-80,1980,6,0
Jul-80,1980,7,0
Aug-80,1980,8,0
Sep-80,1980,9,0
Oct-80,1980,10,9.7
Nov-80,1980,11,1.8
Dec-80,1980,12,52.6
Jan-81,1981,1,9.7
Feb-81,1981,2,15.9
Mar-81,1981,3,14.6
Apr-81,1981,4,4.9
May-81,1981,5,0
Jun-81,1981,6,0
Jul-81,1981,7,0
Aug-81,1981,8,0
Sep-81,1981,9,0
Oct-81,1981,10,4.8
Nov-81,1981,11,0.5
Dec-81,1981,12,18.5
Jan-82,1982,1,73.7
Feb-82,1982,2,22.7
Mar-82,1982,3,53
Apr-82,1982,4,16.1
May-82,1982,5,1.4
Jun-82,1982,6,0
Jul-82,1982,7,0
Aug-82,1982,8,0
Sep-82,1982,9,0
Oct-82,1982,10,13.8
Nov-82,1982,11,18.6
Dec-82,1982,12,5.8
Jan-83,1983,1,10.1
Feb-83,1983,2,17.3
Mar-83,1983,3,27.3
Apr-83,1983,4,4.6
May-83,1983,5,0
Jun-83,1983,6,0
Jul-83,1983,7,0
Aug-83,1983,8,0
Sep-83,1983,9,0.9
Oct-83,1983,10,9
Nov-83,1983,11,17.4
Dec-83,1983,12,22.4
Jan-84,1984,1,26.1
Feb-84,1984,2,6.7
Mar-84,1984,3,18.1
Apr-84,1984,4,0
May-84,1984,5,0
Jun-84,1984,6,0
Jul-84,1984,7,0
Aug-84,1984,8,0
Sep-84,1984,9,3.5
Oct-84,1984,10,48.6
Nov-84,1984,11,23.3
Dec-84,1984,12,37
Jan-85,1985,1,9.1
Feb-85,1985,2,23.4
Mar-85,1985,3,4.2
Apr-85,1985,4,43.3
May-85,1985,5,0
Jun-85,1985,6,0
Jul-85,1985,7,0
Aug-85,1985,8,0
Sep-85,1985,9,4.1
Oct-85,1985,10,6.3
Nov-85,1985,11,29.3
Dec-85,1985,12,28.5
Jan-86,1986,1,11.3
Feb-86,1986,2,10.4
Mar-86,1986,3,30.7
Apr-86,1986,4,33.7
May-86,1986,5,0
Jun-86,1986,6,0
Jul-86,1986,7,0
Aug-86,1986,8,0
Sep-86,1986,9,0
Oct-86,1986,10,5
Nov-86,1986,11,31.2
Dec-86,1986,12,10.8
Jan-87,1987,1,3.3
Feb-87,1987,2,10.2
Mar-87,1987,3,40
Apr-87,1987,4,1.4
May-87,1987,5,34.2
Jun-87,1987,6,0
Jul-87,1987,7,0
Aug-87,1987,8,0
Sep-87,1987,9,0
Oct-87,1987,10,0
Nov-87,1987,11,2.4
Dec-87,1987,12,17.5
Jan-88,1988,1,9.9
Feb-88,1988,2,31.2
Mar-88,1988,3,7.3
Apr-88,1988,4,0.4
May-88,1988,5,0
Jun-88,1988,6,0
Jul-88,1988,7,0
Aug-88,1988,8,0
Sep-88,1988,9,0
Oct-88,1988,10,0.2
Nov-88,1988,11,12.2
Dec-88,1988,12,14.2
Jan-89,1989,1,40.5
Feb-89,1989,2,10.6
Mar-89,1989,3,6.9
Apr-89,1989,4,13.2
May-89,1989,5,18.9
Jun-89,1989,6,0
Jul-89,1989,7,0
Aug-89,1989,8,0
Sep-89,1989,9,0.2
Oct-89,1989,10,3.4
Nov-89,1989,11,21.5
Dec-89,1989,12,12.7
Jan-90,1990,1,13.1
Feb-90,1990,2,16.6
Mar-90,1990,3,14.4
Apr-90,1990,4,16.7
May-90,1990,5,4.7
Jun-90,1990,6,0
Jul-90,1990,7,0
Aug-90,1990,8,0
Sep-90,1990,9,0
Oct-90,1990,10,27.1
Nov-90,1990,11,32.3
Dec-90,1990,12,31.9
Jan-91,1991,1,30.5
Feb-91,1991,2,25.2
Mar-91,1991,3,16
Apr-91,1991,4,16
May-91,1991,5,0
Jun-91,1991,6,0
Jul-91,1991,7,0
Aug-91,1991,8,0
Sep-91,1991,9,0
Oct-91,1991,10,72.7
Nov-91,1991,11,4.3
Dec-91,1991,12,18.3
Jan-92,1992,1,28.8
Feb-92,1992,2,41.6
Mar-92,1992,3,3.9
Apr-92,1992,4,19.6
May-92,1992,5,16.6
Jun-92,1992,6,0
Jul-92,1992,7,0
Aug-92,1992,8,2
Sep-92,1992,9,5.5
Oct-92,1992,10,2.2
Nov-92,1992,11,21.6
Dec-92,1992,12,21
Jan-93,1993,1,2.8
Feb-93,1993,2,10.2
Mar-93,1993,3,25.3
Apr-93,1993,4,11
May-93,1993,5,0
Jun-93,1993,6,0
Jul-93,1993,7,0
Aug-93,1993,8,0
Sep-93,1993,9,0.4
Oct-93,1993,10,0.4
Nov-93,1993,11,21.6
Dec-93,1993,12,18.2
Jan-94,1994,1,95.2
Feb-94,1994,2,25
Mar-94,1994,3,2
Apr-94,1994,4,0.4
May-94,1994,5,0
Jun-94,1994,6,0
Jul-94,1994,7,0
Aug-94,1994,8,0
Sep-94,1994,9,3
Oct-94,1994,10,8.6
Nov-94,1994,11,19.4
Dec-94,1994,12,17.9
Jan-95,1995,1,4
Feb-95,1995,2,6.9
Mar-95,1995,3,5.9
Apr-95,1995,4,9.6
May-95,1995,5,0
Jun-95,1995,6,0
Jul-95,1995,7,0
Aug-95,1995,8,0
Sep-95,1995,9,0
Oct-95,1995,10,1.8
Nov-95,1995,11,52
Dec-95,1995,12,20.6
Jan-96,1996,1,34.6
Feb-96,1996,2,10
Mar-96,1996,3,22.4
Apr-96,1996,4,18.4
May-96,1996,5,11.4
Jun-96,1996,6,0
Jul-96,1996,7,0
Aug-96,1996,8,0
Sep-96,1996,9,2.8
Oct-96,1996,10,6
Nov-96,1996,11,82.4
Dec-96,1996,12,20
Jan-97,1997,1,14
Feb-97,1997,2,13.4
Mar-97,1997,3,27
Apr-97,1997,4,3.2
May-97,1997,5,17.2
Jun-97,1997,6,0
Jul-97,1997,7,0
Aug-97,1997,8,0
Sep-97,1997,9,0
Oct-97,1997,10,14.5
Nov-97,1997,11,2.4
Dec-97,1997,12,5
Jan-98,1998,1,23
Feb-98,1998,2,0.2
Mar-98,1998,3,13.4
Apr-98,1998,4,0
May-98,1998,5,0
Jun-98,1998,6,0
Jul-98,1998,7,0
Aug-98,1998,8,0
Sep-98,1998,9,0
Oct-98,1998,10,23
Nov-98,1998,11,24.6
Dec-98,1998,12,23.2
Jan-99,1999,1,49.1
Feb-99,1999,2,13.6
Mar-99,1999,3,22.9
Apr-99,1999,4,3.4
May-99,1999,5,1.4
Jun-99,1999,6,0
Jul-99,1999,7,0
Aug-99,1999,8,0
Sep-99,1999,9,6.6
Oct-99,1999,10,4.2
Nov-99,1999,11,2.4
Dec-99,1999,12,5.8
Jan-00,2000,1,27.6
Feb-00,2000,2,10.2
Mar-00,2000,3,22
Apr-00,2000,4,10.2
May-00,2000,5,5
Jun-00,2000,6,0
Jul-00,2000,7,0
Aug-00,2000,8,0
Sep-00,2000,9,0
Oct-00,2000,10,0.2
Nov-00,2000,11,13.5
Dec-00,2000,12,11.8
Jan-01,2001,1,0
Feb-01,2001,2,6.4
Mar-01,2001,3,22
Apr-01,2001,4,0.4
May-01,2001,5,0
Jun-01,2001,6,0
Jul-01,2001,7,0
Aug-01,2001,8,0
Sep-01,2001,9,0
Oct-01,2001,10,18.1
Nov-01,2001,11,24.6
Dec-01,2001,12,2.1
Jan-02,2002,1,7.2
Feb-02,2002,2,5.4
Mar-02,2002,3,30.1
Apr-02,2002,4,41.6
May-02,2002,5,0.2
Jun-02,2002,6,0
Jul-02,2002,7,0
Aug-02,2002,8,0
Sep-02,2002,9,0
Oct-02,2002,10,9.8
Nov-02,2002,11,11.4
Dec-02,2002,12,7.4
Jan-03,2003,1,47.2
Feb-03,2003,2,26.8
Mar-03,2003,3,25.8
Apr-03,2003,4,39.2
May-03,2003,5,33.2
Jun-03,2003,6,0
Jul-03,2003,7,0
Aug-03,2003,8,0
Sep-03,2003,9,0
Oct-03,2003,10,14.4
Nov-03,2003,11,20
Dec-03,2003,12,15.2
Jan-04,2004,1,39.2
Feb-04,2004,2,5
Mar-04,2004,3,16.6
Apr-04,2004,4,19.8
May-04,2004,5,2.4
Jun-04,2004,6,0
Jul-04,2004,7,0
Aug-04,2004,8,0
Sep-04,2004,9,15.2
Oct-04,2004,10,29.6
Nov-04,2004,11,2.6
Dec-04,2004,12,38.6
Jan-05,2005,1,16.2
Feb-05,2005,2,15
Mar-05,2005,3,40.2
Apr-05,2005,4,2.6
May-05,2005,5,0
Jun-05,2005,6,0
Jul-05,2005,7,0
Aug-05,2005,8,0
Sep-05,2005,9,0
Oct-05,2005,10,0
Nov-05,2005,11,3.8
Dec-05,2005,12,7.8
Jan-06,2006,1,3.2
Feb-06,2006,2,28.4
Mar-06,2006,3,29.8
Apr-06,2006,4,5.2
May-06,2006,5,0
Jun-06,2006,6,0
Jul-06,2006,7,0
Aug-06,2006,8,0
Sep-06,2006,9,0
Oct-06,2006,10,31.2
Nov-06,2006,11,44.5
Dec-06,2006,12,6.8
Jan-07,2007,1,16
Feb-07,2007,2,25.4
Mar-07,2007,3,0.4
Apr-07,2007,4,29.4
May-07,2007,5,0.8
Jun-07,2007,6,0
Jul-07,2007,7,0
Aug-07,2007,8,0
Sep-07,2007,9,0
Oct-07,2007,10,0.6
Nov-07,2007,11,13
Dec-07,2007,12,14.7
Jan-08,2008,1,16.4
Feb-08,2008,2,11.2
Mar-08,2008,3,16.4
Apr-08,2008,4,38.4
May-08,2008,5,2.8
Jun-08,2008,6,0
Jul-08,2008,7,0
Aug-08,2008,8,0
Sep-08,2008,9,0
Oct-08,2008,10,0.4
Nov-08,2008,11,3
Dec-08,2008,12,28.2
Jan-09,2009,1,35.6
Feb-09,2009,2,24.4
Mar-09,2009,3,21
Apr-09,2009,4,7.4
May-09,2009,5,9
Jun-09,2009,6,0
Jul-09,2009,7,0
Aug-09,2009,8,0
Sep-09,2009,9,0
Oct-09,2009,10,18
Nov-09,2009,11,4.6
Dec-09,2009,12,58.4
Jan-10,2010,1,14.4
Feb-10,2010,2,0.4
Mar-10,2010,3,10.6
Apr-10,2010,4,2.8
May-10,2010,5,26.6
Jun-10,2010,6,0
Jul-10,2010,7,0
Aug-10,2010,8,0
Sep-10,2010,9,0
Oct-10,2010,10,5
Nov-10,2010,11,21
Dec-10,2010,12,25.8
Jan-11,2011,1,80.8
Feb-11,2011,2,26.8
Mar-11,2011,3,32.4
Apr-11,2011,4,8.6
May-11,2011,5,0
Jun-11,2011,6,0
Jul-11,2011,7,0
Aug-11,2011,8,0
Sep-11,2011,9,0
Oct-11,2011,10,0
Nov-11,2011,11,24
Dec-11,2011,12,12.6
Jan-12,2012,1,9.4
Feb-12,2012,2,22.6
Mar-12,2012,3,27
Apr-12,2012,4,44.6
May-12,2012,5,0
Jun-12,2012,6,0
Jul-12,2012,7,0
Aug-12,2012,8,0
Sep-12,2012,9,0
Oct-12,2012,10,12.6
Nov-12,2012,11,42.2
Dec-12,2012,12,28.6
Jan-13,2013,1,36.2
Feb-13,2013,2,14
Mar-13,2013,3,75.6
Apr-13,2013,4,33.3
May-13,2013,5,0
Jun-13,2013,6,0
Jul-13,2013,7,0
Aug-13,2013,8,0
Sep-13,2013,9,0
Oct-13,2013,10,1.4
Nov-13,2013,11,68.4
Dec-13,2013,12,79.8
Jan-14,2014,1,13.8
Feb-14,2014,2,19.4
Mar-14,2014,3,32.2
Apr-14,2014,4,11.6
May-14,2014,5,3
Jun-14,2014,6,0
Jul-14,2014,7,0
Aug-14,2014,8,0
Sep-14,2014,9,7.8
Oct-14,2014,10,5.2
Nov-14,2014,11,57.8
Dec-14,2014,12,7.2
Jan-15,2015,1,30
Feb-15,2015,2,30.8
Mar-15,2015,3,27.4
Apr-15,2015,4,12.2
May-15,2015,5,7.6
Jun-15,2015,6,0
Jul-15,2015,7,0
Aug-15,2015,8,0
Sep-15,2015,9,0
Oct-15,2015,10,0
Nov-15,2015,11,25.2
Dec-15,2015,12,11.6
Jan-16,2016,1,10.8
Feb-16,2016,2,22.2
Mar-16,2016,3,15.6
Apr-16,2016,4,2
May-16,2016,5,0
Jun-16,2016,6,0
Jul-16,2016,7,0
Aug-16,2016,8,0
Sep-16,2016,9,0
Oct-16,2016,10,24.6
Nov-16,2016,11,4.4
Dec-16,2016,12,21.8
Jan-17,2017,1,10
Feb-17,2017,2,17.6
Mar-17,2017,3,19.6
Apr-17,2017,4,72.8
May-17,2017,5,0
Jun-17,2017,6,0
Jul-17,2017,7,0
Aug-17,2017,8,0
Sep-17,2017,9,11.2
Oct-17,2017,10,16.6
Nov-17,2017,11,18.6
Dec-17,2017,12,2.6
