Date/Time,Month,Mean Temp (¬?C)
Jan-67,1,-15.1
Feb-67,2,-8.9
Mar-67,3,-10
Apr-67,4,-0.4
May-67,5,9.8
Jun-67,6,13.4
Jul-67,7,16.8
Aug-67,8,18.2
Sep-67,9,15.4
Oct-67,10,5.3
Nov-67,11,-2.7
Dec-67,12,-9.9
Jan-68,1,-15
Feb-68,2,-7.1
Mar-68,3,0.6
Apr-68,4,3.8
May-68,5,10
Jun-68,6,13.6
Jul-68,7,16.7
Aug-68,8,13.4
Sep-68,9,10.3
Oct-68,10,4.4
Nov-68,11,-1.8
Dec-68,12,-16.7
Jan-69,1,-26.5
Feb-69,2,-12.6
Mar-69,3,-5.3
Apr-69,4,6.3
May-69,5,10.9
Jun-69,6,15.3
Jul-69,7,15.6
Aug-69,8,15.7
Sep-69,9,9.6
Oct-69,10,2.3
Nov-69,11,-1.1
Dec-69,12,-6.5
Jan-70,1,-16.4
Feb-70,2,-5.8
Mar-70,3,-6.9
Apr-70,4,3.7
May-70,5,10.7
Jun-70,6,17
Jul-70,7,16.8
Aug-70,8,16
Sep-70,9,9.8
Oct-70,10,3.8
Nov-70,11,-9.3
Dec-70,12,-16.7
Jan-71,1,-18.4
Feb-71,2,-6.6
Mar-71,3,-6.8
Apr-71,4,4.3
May-71,5,12.8
Jun-71,6,13.5
Jul-71,7,15.4
Aug-71,8,17.8
Sep-71,9,9.1
Oct-71,10,4.7
Nov-71,11,-4.3
Dec-71,12,-16.1
Jan-72,1,-17.5
Feb-72,2,-15.7
Mar-72,3,-3.9
Apr-72,4,2.6
May-72,5,11.9
Jun-72,6,15
Jul-72,7,14.4
Aug-72,8,17.4
Sep-72,9,6.1
Oct-72,10,3.4
Nov-72,11,-3.7
Dec-72,12,-14.4
Jan-73,1,-10.2
Feb-73,2,-9.2
Mar-73,3,-1
Apr-73,4,3.2
May-73,5,11.6
Jun-73,6,13.9
Jul-73,7,16
Aug-73,8,14.8
Sep-73,9,9.8
Oct-73,10,3.9
Nov-73,11,-13.4
Dec-73,12,-10.9
Jan-74,1,-17.7
Feb-74,2,-8.3
Mar-74,3,-9.9
Apr-74,4,4
May-74,5,8.4
Jun-74,6,15.1
Jul-74,7,15.8
Aug-74,8,13.7
Sep-74,9,9.5
Oct-74,10,7.8
Nov-74,11,-1.4
Dec-74,12,-4
Jan-75,1,-10.4
Feb-75,2,-13
Mar-75,3,-7.4
Apr-75,4,0.3
May-75,5,9.7
Jun-75,6,13.9
Jul-75,7,18.4
Aug-75,8,13.1
Sep-75,9,11.7
Oct-75,10,4.5
Nov-75,11,-3.4
Dec-75,12,-9.6
Jan-76,1,-9.2
Feb-76,2,-6.9
Mar-76,3,-3.8
Apr-76,4,7.2
May-76,5,11.8
Jun-76,6,12.6
Jul-76,7,16.7
Aug-76,8,16.7
Sep-76,9,13
Oct-76,10,4.9
Nov-76,11,0.2
Dec-76,12,-7.6
Jan-77,1,-10.3
Feb-77,2,0.6
Mar-77,3,-1.8
Apr-77,4,8.2
May-77,5,11
Jun-77,6,15.1
Jul-77,7,14.8
Aug-77,8,13
Sep-77,9,9.4
Oct-77,10,5.7
Nov-77,11,-4.9
Dec-77,12,-15.5
Jan-78,1,-16.1
Feb-78,2,-11.7
Mar-78,3,-2.7
Apr-78,4,4.9
May-78,5,10.3
Jun-78,6,15.9
Jul-78,7,16.7
Aug-78,8,14.3
Sep-78,9,10.1
Oct-78,10,7.4
Nov-78,11,-6
Dec-78,12,-10.5
Jan-79,1,-14.3
Feb-79,2,-22.4
Mar-79,3,-1.2
Apr-79,4,0.6
May-79,5,8.3
Jun-79,6,14.4
Jul-79,7,17.2
Aug-79,8,15.8
Sep-79,9,12.6
Oct-79,10,7.2
Nov-79,11,-1.3
Dec-79,12,-8.2
Jan-80,1,-15.3
Feb-80,2,-8.4
Mar-80,3,-5.9
Apr-80,4,8.9
May-80,5,12
Jun-80,6,15
Jul-80,7,16.1
Aug-80,8,13.1
Sep-80,9,9.7
Oct-80,10,7.1
Nov-80,11,0.4
Dec-80,12,-14.4
Jan-81,1,-3.9
Feb-81,2,-5.4
Mar-81,3,1
Apr-81,4,4.9
May-81,5,12.1
Jun-81,6,13.2
Jul-81,7,16.5
Aug-81,8,19
Sep-81,9,12.5
Oct-81,10,4.3
Nov-81,11,0.8
Dec-81,12,-9.4
Jan-82,1,-22.4
Feb-82,2,-13.8
Mar-82,3,-6.8
Apr-82,4,0.4
May-82,5,10.3
Jun-82,6,16.1
Jul-82,7,16.6
Aug-82,8,13.6
Sep-82,9,11.3
Oct-82,10,6.1
Nov-82,11,-8.2
Dec-82,12,-8
Jan-83,1,-9.2
Feb-83,2,-7.6
Mar-83,3,-4
Apr-83,4,5.5
May-83,5,10.8
Jun-83,6,14
Jul-83,7,16.5
Aug-83,8,17.7
Sep-83,9,8.9
Oct-83,10,5.4
Nov-83,11,-3.7
Dec-83,12,-18.1
Jan-84,1,-6.1
Feb-84,2,-0.7
Mar-84,3,-2.2
Apr-84,4,6.6
May-84,5,9
Jun-84,6,14.5
Jul-84,7,17.4
Aug-84,8,17.1
Sep-84,9,7.6
Oct-84,10,1.8
Nov-84,11,-8.7
Dec-84,12,-16.1
Jan-85,1,-7.9
Feb-85,2,-11.6
Mar-85,3,-1.3
Apr-85,4,4.7
May-85,5,12.4
Jun-85,6,12.9
Jul-85,7,17.5
Aug-85,8,14
Sep-85,9,7.2
Oct-85,10,3.8
Nov-85,11,-13.8
Dec-85,12,-4.4
Jan-86,1,-5.1
Feb-86,2,-11.5
Mar-86,3,1.2
Apr-86,4,3.6
May-86,5,11.8
Jun-86,6,14.7
Jul-86,7,15.2
Aug-86,8,16.7
Sep-86,9,8.2
Oct-86,10,7.5
Nov-86,11,-7.6
Dec-86,12,-4.1
Jan-87,1,-3.6
Feb-87,2,-2.8
Mar-87,3,-4.6
Apr-87,4,7.9
May-87,5,11.6
Jun-87,6,16.2
Jul-87,7,17
Aug-87,8,13.2
Sep-87,9,13.6
Oct-87,10,7
Nov-87,11,1.2
Dec-87,12,-4.2
Jan-88,1,-10.7
Feb-88,2,-7.4
Mar-88,3,1.9
Apr-88,4,6.8
May-88,5,13.1
Jun-88,6,15.6
Jul-88,7,16.4
Aug-88,8,15.5
Sep-88,9,10.8
Oct-88,10,7
Nov-88,11,-3.8
Dec-88,12,-6.3
Jan-89,1,-9
Feb-89,2,-13.8
Mar-89,3,-9
Apr-89,4,5.3
May-89,5,10.3
Jun-89,6,14.6
Jul-89,7,17.3
Aug-89,8,15.4
Sep-89,9,11.2
Oct-89,10,5.1
Nov-89,11,-2.3
Dec-89,12,-6.5
Jan-90,1,-7.4
Feb-90,2,-9.4
Mar-90,3,0.3
Apr-90,4,4.2
May-90,5,10.8
Jun-90,6,14.6
Jul-90,7,16.6
Aug-90,8,16.5
Sep-90,9,13
Oct-90,10,3.2
Nov-90,11,-6.9
Dec-90,12,-13.4
Jan-91,1,-10.5
Feb-91,2,-0.8
Mar-91,3,-4.4
Apr-91,4,7
May-91,5,10.6
Jun-91,6,13.8
Jul-91,7,16.9
Aug-91,8,18.5
Sep-91,9,11.7
Oct-91,10,1.5
Nov-91,11,-4.3
Dec-91,12,-6.4
Jan-92,1,-5.2
Feb-92,2,-6.4
Mar-92,3,2.6
Apr-92,4,6
May-92,5,9.7
Jun-92,6,16
Jul-92,7,15.9
Aug-92,8,15.1
Sep-92,9,8.7
Oct-92,10,4.9
Nov-92,11,-1.6
Dec-92,12,-13.7
Jan-93,1,-12.2
Feb-93,2,-8
Mar-93,3,-1.2
Apr-93,4,5.2
May-93,5,12.3
Jun-93,6,13.8
Jul-93,7,15.1
Aug-93,8,14.9
Sep-93,9,11
Oct-93,10,6
Nov-93,11,-3.1
Dec-93,12,-4.3
Jan-94,1,-15
Feb-94,2,-16.9
Mar-94,3,1.3
Apr-94,4,6.3
May-94,5,11.6
Jun-94,6,14.3
Jul-94,7,17.4
Aug-94,8,16.1
Sep-94,9,13.4
Oct-94,10,5.3
Nov-94,11,-4.3
Dec-94,12,-9.3
Jan-95,1,-10.1
Feb-95,2,-8
Mar-95,3,-3.3
Apr-95,4,3.6
May-95,5,11.3
Jun-95,6,15.5
Jul-95,7,16.1
Aug-95,8,12.9
Sep-95,9,12.6
Oct-95,10,5
Nov-95,11,-7.8
Dec-95,12,-13.4
Jan-96,1,-18
Feb-96,2,-7.9
Mar-96,3,-6.3
Apr-96,4,5.3
May-96,5,7.6
Jun-96,6,13.3
Jul-96,7,16.4
Aug-96,8,16.7
Sep-96,9,9.3
Oct-96,10,4
Nov-96,11,-10.6
Dec-96,12,-15.4
Jan-97,1,-14.8
Feb-97,2,-3.7
Mar-97,3,-5.1
Apr-97,4,2.4
May-97,5,10.8
Jun-97,6,14.8
Jul-97,7,16.5
Aug-97,8,16.4
Sep-97,9,12.7
Oct-97,10,3.8
Nov-97,11,-0.6
Dec-97,12,-1.8
Jan-98,1,-16
Feb-98,2,-3.8
Mar-98,3,-2.6
Apr-98,4,7.8
May-98,5,14.5
Jun-98,6,14.9
Jul-98,7,18.7
Aug-98,8,18.7
Sep-98,9,13
Oct-98,10,6.6
Nov-98,11,-4
Dec-98,12,-10.3
Jan-99,1,-11.9
Feb-99,2,-6.3
Mar-99,3,-3.7
Apr-99,4,5.7
May-99,5,9.9
Jun-99,6,14.1
Jul-99,7,15.6
Aug-99,8,17.4
Sep-99,9,11.2
Oct-99,10,6.7
Nov-99,11,-1
Dec-99,12,-1.7
Jan-00,1,-11.2
Feb-00,2,-6.3
Mar-00,3,-0.7
Apr-00,4,4.6
May-00,5,9.5
Jun-00,6,13.8
Jul-00,7,17.4
Aug-00,8,14.9
Sep-00,9,11
Oct-00,10,5.8
Nov-00,11,-2.9
Dec-00,12,-11.8
01-Jan,1,-1.8
01-Feb,2,-9.8
01-Mar,3,-0.5
01-Apr,4,5.5
01-May,5,11.9
01-Jun,6,13.6
01-Jul,7,17.2
01-Aug,8,17.5
01-Sep,9,12.4
01-Oct,10,3.8
01-Nov,11,-1.1
01-Dec,12,-9
02-Jan,1,-9.3
02-Feb,2,-3.6
02-Mar,3,-11.7
02-Apr,4,-0.7
02-May,5,9.2
02-Jun,6,16.9
02-Jul,7,18.4
02-Aug,8,15.5
02-Sep,9,10.4
02-Oct,10,2.1
02-Nov,11,0.7
02-Dec,12,-4.1
03-Jan,1,-10.2
03-Feb,2,-7.9
03-Mar,3,-6.4
03-Apr,4,4
03-May,5,10.1
03-Jun,6,14.4
03-Jul,7,18.1
03-Aug,8,17.8
03-Sep,9,10.9
03-Oct,10,7.4
03-Nov,11,-6.1
03-Dec,12,-6.4
04-Jan,1,-13.8
04-Feb,2,-4.6
04-Mar,3,-0.5
04-Apr,4,6.3
04-May,5,8.7
04-Jun,6,14.6
04-Jul,7,16.9
04-Aug,8,15.1
04-Sep,9,9.7
04-Oct,10,3.4
04-Nov,11,0.9
04-Dec,12,-7.9
05-Jan,1,-12
05-Feb,2,-4
05-Mar,3,-0.3
05-Apr,4,7.2
05-May,5,10.9
05-Jun,6,13.9
05-Jul,7,16.6
05-Aug,8,14.5
05-Sep,9,9.9
05-Oct,10,5.7
05-Nov,11,0.4
05-Dec,12,-4.9
06-Jan,1,-4.3
06-Feb,2,-6
06-Mar,3,-5.5
06-Apr,4,8
06-May,5,12.2
06-Jun,6,16.3
06-Jul,7,19.3
06-Aug,8,16.4
06-Sep,9,12.7
06-Oct,10,3.2
06-Nov,11,-10.5
06-Dec,12,-4
07-Jan,1,-5.7
07-Feb,2,-11.4
07-Mar,3,-1.9
07-Apr,4,3
07-May,5,10.6
07-Jun,6,15.3
07-Jul,7,19.9
07-Aug,8,14.2
07-Sep,9,10.6
07-Oct,10,6.7
07-Nov,11,-3.1
07-Dec,12,-7.15
08-Jan,1,-11.2
08-Feb,2,-7.9
08-Mar,3,-1.3
08-Apr,4,1.8
08-May,5,12.1
08-Jun,6,14.9
08-Jul,7,16.8
08-Aug,8,16.9
08-Sep,9,11.8
08-Oct,10,6.4
08-Nov,11,0.9
08-Dec,12,-14.4
09-Jan,1,-9.9
09-Feb,2,-8.5
09-Mar,3,-7.3
09-Apr,4,3.7
09-May,5,9.7
09-Jun,6,14.4
09-Jul,7,17.2
09-Aug,8,16.4
09-Sep,9,15.1
09-Oct,10,1.8
09-Nov,11,1
09-Dec,12,-15.5
10-Jan,1,-9.5
10-Feb,2,-6.1
10-Mar,3,1.2
10-Apr,4,6.6
10-May,5,9
10-Jun,6,15
10-Jul,7,16.9
10-Aug,8,15.6
10-Sep,9,9.5
10-Oct,10,7.4
10-Nov,11,-4.5
10-Dec,12,-13.5
11-Jan,1,-10.7
11-Feb,2,-10.6
11-Mar,3,-8.6
11-Apr,4,3.1
11-May,5,12
11-Jun,6,13.9
11-Jul,7,16
11-Aug,8,16.2
11-Sep,9,13.5
11-Oct,10,6.3
11-Nov,11,-4
11-Dec,12,-3.1
12-Jan,1,-7
12-Feb,2,-5.9
12-Mar,3,-1.1
12-Apr,4,4.2
12-May,5,10.5
12-Jun,6,15.2
12-Jul,7,18.6
12-Aug,8,17.4
12-Sep,9,13.6
12-Oct,10,1.2
12-Nov,11,-6.9
12-Dec,12,-14.3
13-Jan,1,-7.8
13-Feb,2,-2.9
13-Mar,3,-5.6
13-Apr,4,0.7
13-May,5,13.3
13-Jun,6,14.5
13-Jul,7,16.2
13-Aug,8,17.2
13-Sep,9,14.4
13-Oct,10,6.2
13-Nov,11,-5.9
13-Dec,12,-12.8
14-Jan,1,-6.1
14-Feb,2,-14.3
14-Mar,3,-7
14-Apr,4,3.7
14-May,5,10
14-Jun,6,14.6
14-Jul,7,18.6
14-Aug,8,17.5
14-Sep,9,11.6
14-Oct,10,7.5
14-Nov,11,-6.7
14-Dec,12,-6.3
15-Jan,1,-6.8
15-Feb,2,-8.5
15-Mar,3,1.4
15-Apr,4,6.2
15-May,5,10.7
15-Jun,6,16.4
15-Jul,7,18.7
15-Aug,8,17.1
15-Sep,9,10.4
15-Oct,10,7.8
15-Nov,11,-1.6
15-Dec,12,-7.8
16-Jan,1,-8.1
16-Feb,2,-1.3
16-Mar,3,1.7
16-Apr,4,8.4
16-May,5,12
16-Jun,6,16.2
16-Jul,7,17.9
16-Aug,8,16.9
16-Sep,9,11.2
16-Oct,10,1.6
16-Nov,11,0.8
16-Dec,12,-11.7
17-Jan,1,-7.7
17-Feb,2,-10.4
17-Mar,3,-6.6
17-Apr,4,2.4
17-May,5,13.2
17-Jun,6,15.5
17-Jul,7,18.1
17-Aug,8,16.7
17-Sep,9,12.1
17-Oct,10,5.3
17-Nov,11,-6.7
17-Dec,12,-6.9
